strava_id|status|dog_access|reason
3523203570730615372|superseded|unverified|Sean 2026-08-19 REJECTED: "all concrete no park and somehow excluded all the actual park area". Superseded by 몽마르뜨 서리풀 공원 루프 3.95km.
3523214683284986122|review|unverified|Characteristic hill route under 5 km, but no surface-only dog-access audit is recorded
3523215321827895562|superseded|unverified|5.40 km exceeds the cap and the saved Strava name incorrectly says 3 km
3523224747186372978|superseded|unverified|Sean 2026-08-19 REJECTED: "did not even go deep into the park". Superseded by 이촌 한강공원 루프 3.82km.
3523229766951707090|superseded|unverified|6.83 km exceeds the revised cap
3523230401766453958|review|blocked|Uses 신반포역 2번출구 as a waypoint; keep out of the dog catalog until the complete leg is proven surface-only
3523230401769556678|superseded|unverified|7.67 km exceeds the revised cap
3523231493898586588|review|unverified|Characteristic Hangang route under 5 km, but the 나들목 and all approach legs need a dog-access audit
3523231493904049628|candidate|surface-verified|Same side of 올림픽로; no subway station or station-connected underground passage
3523231493906443740|review|unverified|Characteristic lake route under 5 km, but no residential-anchor and surface-only audit is recorded
3523231493906677212|candidate|surface-verified|West-lake public surface route; no subway station or station-connected underground passage
3523231623618492682|review|unverified|Characteristic river route under 5 km, but the 나들목 and all approach legs need a dog-access audit
3523234096773528028|superseded|unverified|6.47 km exceeds the revised cap
3523234096777450972|superseded|unverified|5.05 km is not under the 5 km cap
3523234988764300754|superseded|unverified|Uncharacteristic pavement perimeter; major-road crossings are unaudited
3523234988767503826|superseded|unverified|7.63 km exceeds the revised cap
3523245380672931292|superseded|unverified|5.40 km exceeds the revised cap
3523240019688241628|review|unverified|Characteristic Olympic Park route under 5 km, but the complete residential-to-park approach still needs a surface-only dog-access audit

3525020800843551818|review|unverified|Built by route-geometry 2026-08-19; measured 4.673 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525053699330380742|review|unverified|Built by route-geometry 2026-08-19; measured 6.417 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525014064106677190|review|unverified|Built by route-geometry 2026-08-19; measured 3.815 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525021244456183730|review|unverified|Built by route-geometry 2026-08-19; measured 5.092 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524978352970353048|review|unverified|Built by route-geometry 2026-08-19; measured 3.783 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524983539295066832|review|unverified|Built by route-geometry 2026-08-19; measured 4.185 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524937744652744182|review|unverified|Built by route-geometry 2026-08-19; measured 6.08 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524994474651349582|review|unverified|Built by route-geometry 2026-08-19; measured 6.438 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525014064108068806|review|unverified|Built by route-geometry 2026-08-19; measured 3.539 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525054044886262874|review|unverified|Built by route-geometry 2026-08-19; measured 3.9 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525020800842008650|review|unverified|Built by route-geometry 2026-08-19; measured 5.442 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524978352962523544|review|unverified|Built by route-geometry 2026-08-19; measured 5.698 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524982565739193752|review|unverified|Built by route-geometry 2026-08-19; measured 5.364 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524993786197813638|review|unverified|Built by route-geometry 2026-08-19; measured 4.485 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524978352957171096|review|unverified|Built by route-geometry 2026-08-19; measured 5.248 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525049921549277258|review|unverified|Built by route-geometry 2026-08-19; measured 2.417 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524998876909961624|review|unverified|Built by route-geometry 2026-08-19; measured 3.082 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524998876906613144|review|unverified|Built by route-geometry 2026-08-19; measured 3.935 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525042173695682574|review|unverified|Built by route-geometry 2026-08-19; measured 4.926 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524982565721803160|superseded|unverified|Sean 2026-08-19 REJECTED: flat park nearby, mountain is a big climb, path does not intersect residential. Superseded by 마포 상암 난지천 루프 7.1km.
3524998909054872632|review|unverified|Built by route-geometry 2026-08-19; measured 6.466 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525055224123590598|review|unverified|Built by route-geometry 2026-08-19; measured 6.804 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524994474651174478|review|unverified|Built by route-geometry 2026-08-19; measured 5.744 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525014064112666566|review|unverified|Built by route-geometry 2026-08-19; measured 3.206 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3525003528973545038|review|unverified|Built by route-geometry 2026-08-19; measured 3.233 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3524998909056541752|review|unverified|Built by route-geometry 2026-08-19; measured 5.096 km, within Sean's 1.5-7.5 range. No surface-only dog-access audit performed by this session.
3523262357366690348|review|unverified|Built by route-geometry; measured 3.311 km. Surface mix and query sequence NOT RECORDED by the builder version used. No dog-access audit by this session.
3523243924142013126|superseded|unverified|Sean 2026-08-19 REJECTED: "could have just gone to the river park". Superseded by 압구정 잠원한강공원 루프 3.95km.

3525062776642274394|review|unverified|Rebuilt 2026-08-19 after Sean rejected the prior version; measured 3.953 km. Destination is the nearest green with a lap through it. No dog-access audit by this session.
3525062010743940042|review|unverified|Rebuilt 2026-08-19 after Sean rejected the prior version; measured 7.11 km. Destination is the nearest green with a lap through it. No dog-access audit by this session.
3525062730870715406|review|unverified|Rebuilt 2026-08-19 after Sean rejected the prior version; measured 3.954 km. Destination is the nearest green with a lap through it. No dog-access audit by this session.
3525065520181107726|review|unverified|Rebuilt 2026-08-19 after Sean rejected the prior version; measured 3.832 km. Destination is the nearest green with a lap through it. No dog-access audit by this session.

3525071384428062810|review|unverified|Built 2026-08-19 to the destination-led rule (nearest green, lap inside it); measured 2.511 km. No dog-access audit by this session.
3525066052120776794|review|unverified|Built 2026-08-19 to the destination-led rule (nearest green, lap inside it); measured 2.637 km. No dog-access audit by this session.
3525071384420879450|review|unverified|Built 2026-08-19 to the destination-led rule (nearest green, lap inside it); measured 3.67 km. No dog-access audit by this session.
3525071384422202458|review|unverified|Built 2026-08-19 to the destination-led rule (nearest green, lap inside it); measured 3.501 km. No dog-access audit by this session.
3525306225243168114|review|unverified|Built 2026-08-19, renamed from a "동서호" name that claimed both lake lobes when the geometry reaches only 127.1035 and the index has no per-lobe feature to verify against. Named what is verifiable. No dog-access audit by this session.
3525306225255841138|review|unverified|Built 2026-08-20 (queue #16): 우이천 bike path out-and-back with a 창2동마을공원 lap; measured 3.19 km. First attempt with 덕릉로23길 measured 4.93 km on arterial concrete and was not saved. No dog-access audit by this session.
3525318566172931200|review|unverified|Built 2026-08-20 (queue #17): 중랑천 west-bank path between the 장안교 and southern access ramps, entered by exact ramp coordinates after 장안교 geocoded to a church and 장평교 to its street approach; measured 4.26 km. No dog-access audit by this session.
3525318566176724096|review|unverified|Built 2026-08-20 (queue #20): 안양천교 named per the bridge rule; bank ridden to the 금천구청 crossing; measured 3.77 km. Two earlier attempts (5.31 street wander, 5.45 west-bank overshoot) were not saved. No dog-access audit by this session.
3525319981340417580|review|unverified|Built 2026-08-20 (queue #23): east-bank 안양천 path between 안양교 and 고척교 by indexed coordinates after the name 안양교 resolved 30.91 km away and was refused by the gate; measured 2.74 km. No dog-access audit by this session.
